latitude,longitude,altitude_m
48.1368841,11.5757208,517.03
48.1368877,11.5757191,517.063
48.1368913,11.5757212,517.122
48.1368949,11.5757236,517.106
48.1368985,11.5757189,517.111
48.1369022,11.5757189,517.106
48.1369058,11.5757238,517.219
48.1369094,11.5757216,517.303
48.136913,11.5757182,517.269
48.1369167,11.575721,517.3
48.1369203,11.5757182,517.326
48.1369239,11.5757182,517.339
48.1369275,11.5757201,517.344
48.1369312,11.5757143,517.383
48.1369348,11.5757148,517.383
48.1369384,11.575718,517.409
48.136942,11.5757168,517.386
48.1369457,11.5757203,517.487
48.1369493,11.575717,517.463
48.1369529,11.5757157,517.432
48.1369565,11.5757234,517.533
48.1369601,11.5757189,517.475
48.1369638,11.5757197,517.483
48.1369674,11.5757157,517.474
48.136971,11.575718,517.469
48.1369746,11.5757198,517.558
48.1369783,11.5757164,517.482
48.1369819,11.5757205,517.535
48.1369855,11.5757179,517.507
48.1369891,11.5757187,517.583
48.1369928,11.5757179,517.589
48.1369964,11.5757245,517.632
48.137,11.5757195,517.595
48.1370036,11.5757166,517.588
48.1370073,11.5757217,517.677
48.1370109,11.5757162,517.628
48.1370145,11.5757201,517.687
48.1370181,11.5757142,517.631
48.1370217,11.5757159,517.685
48.1370254,11.57572,517.753
48.137029,11.5757215,517.752
48.1370326,11.57572,517.725
48.1370362,11.5757192,517.753
48.1370399,11.5757187,517.748
48.1370435,11.5757155,517.75
48.1370471,11.5757176,517.763
48.1370507,11.5757183,517.784
48.1370544,11.5757223,517.83
48.137058,11.5757204,517.795
48.1370616,11.5757147,517.775
48.1370652,11.5757204,517.807
48.1370688,11.5757185,517.802
48.1370725,11.5757177,517.822
48.1370761,11.5757211,517.894
48.1370797,11.5757223,517.881
48.1370833,11.575722,517.934
48.137087,11.5757172,517.905
48.1370906,11.5757187,517.865
48.1370942,11.5757204,517.965
48.1370978,11.5757221,517.991
48.1371015,11.5757182,517.928
48.1371051,11.575719,517.987
48.1371087,11.5757165,517.947
48.1371123,11.5757163,517.986
48.137116,11.5757217,517.987
48.1371196,11.5757232,517.991
48.1371232,11.5757193,518.025
48.1371268,11.5757222,518.061
48.1371304,11.5757205,518.055
48.1371341,11.5757178,518.028
48.1371377,11.5757205,518.079
48.1371413,11.5757236,518.129
48.1371449,11.5757194,518.108
48.1371486,11.5757237,518.15
48.1371522,11.5757124,518.075
48.1371558,11.5757217,518.193
48.1371594,11.5757197,518.124
